OriginalSort	Year-text	Year	title	consul	Unique	Ruler ID	wikipedia link	notes	
3176	399	399	Posterior	"Eutropius (East only, until August)"	x				
1514	400	400	Prior	Stilicho	x		https://en.wikipedia.org/wiki/Stilicho		
3177	400	400	Posterior	Aurelianus (East only)	x				
1515	401	401	Prior	Vincentius	x				
3178	401	401	Posterior	Fravitta	x				
1516	402	402	Prior	Arcadius Augustus V	n		https://en.wikipedia.org/wiki/Arcadius		
3179	402	402	Posterior	Honorius Augustus V	n				
1517	403	403	Prior	Theodosius Augustus	x		https://en.wikipedia.org/wiki/Theodosius_II		
3180	403	403	Posterior	Rumoridus	x				
1518	404	404	Prior	Honorius Augustus VI	n		https://en.wikipedia.org/wiki/Honorius_(emperor)		
3181	404	404	Posterior	Aristaenetus (East only)	x				
1519	405	405	Prior	Stilicho II	n		https://en.wikipedia.org/wiki/Stilicho		
3182	405	405	Posterior	Anthemius (East only)	x				
1520	406	406	Prior	Arcadius Augustus VI	n		https://en.wikipedia.org/wiki/Arcadius		
3183	406	406	Posterior	Anicius Petronius Probus	x				
